Series ID,A3348645F,A3348708C,A3348771V,A3348834T,A3348897A,A3348960F,A3349023F,A3349086R,A3348582J,A3348648L,A3348711T,A3348774A,A3348837X,A3348900C,A3348963L,A3349026L,A3349089W,A3348585R,A3348651A,A3348714X,A3348777J,A3348840L,A3348903K,A3348966V,A3349029V,A3349092K,A3348588W
Apr-2015,7250.0,5726.7,4618.5,1491.8,2626.0,448.6,239.2,412.1,22812.9,7692.0,6017.1,4950.6,1578.5,2781.7,473.3,255.6,432.4,24181.2,7701.4,6011.7,4961.9,1575.8,2794.0,475.3,255.8,431.8,24207.7
May-2015,7476.0,5838.6,4796.4,1535.3,2743.5,458.0,253.8,430.9,23532.6,7712.9,6028.3,4957.0,1574.5,2799.8,474.4,254.6,436.5,24238.2,7738.1,6037.3,4966.5,1579.3,2797.4,475.5,256.3,433.9,24284.4
Jun-2015,7436.6,5777.1,4775.5,1508.9,2666.1,444.0,265.9,419.4,23293.5,7806.0,6057.8,4964.6,1586.9,2802.0,474.7,257.5,436.8,24386.3,7777.9,6069.2,4966.0,1582.0,2803.3,476.4,257.0,435.1,24367.0
Jul-2015,7575.9,5914.6,5035.1,1558.5,2756.5,468.5,286.8,419.9,24015.9,7819.5,6097.3,4981.5,1582.5,2807.7,478.0,259.7,436.4,24462.6,7818.8,6108.2,4965.0,1584.4,2811.3,478.1,257.7,435.5,24459.0
Aug-2015,7542.5,5938.6,4923.3,1525.5,2738.8,457.8,278.6,419.0,23824.2,7869.2,6152.3,4964.3,1584.2,2816.9,480.6,257.1,435.4,24560.1,7858.8,6151.3,4966.5,1587.7,2819.5,480.7,258.4,436.0,24559.1
Sep-2015,7664.8,5985.7,4898.0,1550.3,2762.2,459.6,267.0,421.2,24008.9,7878.1,6206.8,4955.3,1595.0,2835.9,484.4,260.1,436.8,24652.4,7896.1,6192.1,4971.2,1592.4,2825.1,483.7,259.3,437.8,24657.6
Oct-2015,8168.2,6396.2,5108.8,1640.8,2928.2,492.0,267.3,445.7,25447.3,7938.6,6239.3,4970.1,1594.9,2830.4,488.1,259.3,436.1,24756.8,7930.1,6226.3,4979.9,1598.0,2826.0,486.5,260.1,441.4,24748.3
Nov-2015,8351.7,6507.8,5119.8,1661.9,2921.8,503.6,256.8,460.1,25783.5,7954.4,6250.7,5001.5,1606.1,2830.7,489.2,259.8,443.1,24835.5,7962.4,6252.1,4992.0,1604.4,2824.6,489.3,260.9,446.7,24832.3
Dec-2015,10383.7,8159.5,6262.0,2050.8,3574.5,626.6,286.0,580.0,31923.0,7997.6,6269.0,5001.0,1610.0,2810.7,489.3,260.4,459.1,24897.0,7993.6,6269.3,5003.8,1611.0,2823.2,492.0,261.5,452.3,24906.8
Jan-2016,7997.5,6168.4,5016.9,1601.9,2778.8,501.8,238.7,449.2,24753.1,8027.3,6273.9,5026.4,1619.8,2821.6,495.5,266.0,458.4,24988.8,8022.8,6281.4,5012.0,1617.1,2822.8,494.5,261.7,457.0,24969.3
Feb-2016,7301.0,5740.6,4517.4,1472.4,2572.8,472.2,228.9,429.5,22734.9,8038.5,6282.1,5014.0,1622.2,2809.3,496.3,260.2,461.7,24984.3,8045.7,6290.0,5015.0,1622.3,2824.2,496.6,261.2,459.5,25014.5
Mar-2016,7847.1,6179.5,4878.9,1617.2,2792.3,502.2,245.1,455.0,24517.3,8068.7,6317.3,5039.8,1627.9,2837.5,499.7,259.7,460.7,25111.4,8060.2,6294.8,5015.0,1627.3,2826.5,498.0,259.9,460.0,25041.7
Apr-2016,7703.5,6088.0,4726.8,1569.5,2712.5,481.7,246.8,447.1,23975.9,8085.9,6289.2,5007.7,1634.7,2847.1,501.5,259.3,459.3,25084.8,8068.6,6298.6,5018.5,1632.8,2828.1,499.0,258.3,459.4,25063.3
May-2016,7796.0,6083.8,4781.0,1582.6,2721.3,478.1,254.9,445.9,24143.5,8081.0,6314.7,4982.2,1632.0,2818.5,497.8,256.7,456.0,25038.9,8076.0,6305.2,5031.6,1639.3,2828.6,499.7,256.9,459.1,25096.3
Jun-2016,7756.2,6072.5,4894.2,1568.5,2708.3,465.8,262.7,437.2,24165.3,8079.6,6324.5,5074.1,1642.7,2823.5,496.8,254.4,456.9,25152.6,8089.3,6318.4,5056.5,1645.9,2828.1,500.2,256.2,460.0,25154.6
Jul-2016,7792.0,6059.4,5104.3,1621.3,2764.9,490.2,281.4,450.1,24563.7,8073.0,6288.7,5076.7,1655.9,2829.0,502.7,255.3,462.3,25143.6,8113.9,6339.8,5090.2,1651.2,2827.4,500.9,256.4,462.2,25241.9
Aug-2016,7805.4,6127.3,5100.1,1609.9,2743.7,481.2,278.2,445.6,24591.3,8138.3,6357.7,5135.8,1663.2,2815.3,502.7,257.0,466.8,25336.8,8149.6,6369.2,5125.9,1655.2,2828.0,502.2,257.5,465.1,25352.6
Sep-2016,8043.8,6270.8,5141.5,1622.5,2779.4,483.4,268.9,453.5,25063.6,8213.9,6455.2,5172.7,1662.9,2842.4,504.6,261.4,470.0,25583.2,8192.1,6402.3,5156.2,1658.7,2829.7,504.0,259.1,468.2,25470.2
Oct-2016,8383.1,6508.1,5257.2,1678.8,2899.8,501.9,265.5,480.2,25974.6,8239.1,6423.0,5182.8,1656.4,2839.2,504.5,260.1,470.8,25575.8,8233.9,6432.0,5172.4,1662.2,2832.0,505.9,260.9,470.7,25570.1
Nov-2016,8744.0,6752.1,5337.8,1729.3,2940.9,524.7,259.5,492.7,26781.1,8295.0,6462.1,5178.4,1651.0,2820.8,506.3,260.8,471.7,25646.2,8265.8,6453.1,5174.1,1666.4,2833.4,507.6,262.2,472.4,25635.0
Dec-2016,10783.1,8457.6,6527.7,2139.2,3637.2,659.1,293.2,603.0,33100.2,8280.1,6464.4,5166.3,1674.3,2839.4,511.7,264.9,472.2,25673.4,8284.7,6467.8,5165.7,1672.0,2833.7,509.0,262.6,473.4,25669.0
Jan-2017,8199.0,6355.5,5111.9,1662.1,2764.9,515.9,234.2,462.5,25306.2,8295.8,6504.0,5153.9,1695.1,2837.7,511.8,263.2,476.9,25738.4,8295.2,6480.5,5154.9,1679.5,2834.3,510.6,262.2,474.4,25691.5
Feb-2017,7298.9,5710.5,4493.7,1485.6,2506.4,469.8,223.4,426.7,22615.0,8299.4,6455.5,5147.2,1685.2,2828.1,511.2,262.8,474.5,25663.9,8305.8,6498.0,5148.2,1688.4,2836.0,512.5,261.4,475.5,25725.7
Mar-2017,8085.8,6412.4,4925.8,1668.2,2797.4,512.0,244.6,467.4,25113.5,8302.3,6503.8,5093.8,1684.3,2839.2,511.2,257.9,473.7,25666.0,8321.2,6523.7,5149.7,1696.4,2839.6,514.5,260.7,476.7,25782.7
Apr-2017,7883.7,6286.0,4892.7,1625.6,2693.2,492.8,244.9,464.3,24583.1,8312.5,6556.5,5208.0,1703.3,2843.4,515.8,259.6,478.6,25877.6,8340.8,6552.3,5158.7,1701.3,2844.5,516.3,260.4,477.7,25851.8
May-2017,8132.0,6396.5,4940.1,1668.4,2767.0,500.5,258.6,469.9,25133.2,8393.6,6618.1,5139.8,1712.4,2846.4,519.8,258.7,480.7,25969.4,8361.3,6576.4,5171.0,1702.5,2847.6,517.2,260.5,478.2,25914.8
Jun-2017,8130.1,6368.2,5050.6,1648.8,2740.3,496.6,272.7,460.2,25167.5,8405.9,6594.4,5206.9,1712.2,2850.5,522.9,262.7,477.9,26033.4,8377.8,6593.3,5180.1,1701.5,2847.1,517.5,260.8,478.3,25956.4
Jul-2017,8061.9,6347.9,5192.6,1648.1,2776.6,498.4,288.9,464.2,25278.6,8393.9,6622.4,5202.0,1702.7,2854.7,516.5,263.2,479.2,26034.5,8389.2,6604.5,5181.8,1701.4,2842.5,517.3,261.0,477.8,25975.6
Aug-2017,8090.2,6389.1,5152.2,1639.2,2777.9,490.5,282.4,453.8,25275.4,8366.9,6598.7,5163.2,1682.2,2841.9,511.9,261.4,475.5,25901.9,8397.8,6614.8,5178.4,1703.7,2835.0,517.1,260.8,477.0,25984.8
Sep-2017,8205.9,6368.9,5140.0,1656.7,2756.4,492.7,265.6,462.5,25348.7,8413.2,6595.2,5188.4,1698.7,2814.6,516.3,258.5,475.2,25960.3,8408.0,6631.0,5176.0,1709.6,2827.1,517.3,260.2,476.2,26005.5
Oct-2017,8556.0,6727.1,5233.4,1758.0,2856.3,518.4,264.0,483.9,26397.1,8421.8,6649.9,5155.8,1726.8,2809.5,517.8,259.1,477.4,26018.1,8424.0,6658.3,5179.3,1719.2,2820.6,518.4,259.4,476.0,26055.2
Nov-2017,9036.0,7150.7,5395.8,1833.7,2979.0,549.0,260.3,502.8,27707.3,8499.2,6769.3,5196.0,1747.6,2837.2,528.0,260.7,481.0,26319.0,8447.0,6695.3,5189.1,1730.1,2817.2,520.2,259.0,476.6,26134.6
Dec-2017,10960.7,8757.0,6544.7,2216.5,3594.9,668.3,285.8,611.1,33639.0,8522.5,6766.4,5218.6,1752.3,2828.0,522.4,259.1,478.8,26348.2,8475.7,6735.7,5201.2,1739.3,2817.5,522.3,259.4,478.2,26229.3
Jan-2018,8365.6,6602.5,5220.9,1705.1,2777.9,527.5,231.7,464.7,25896.0,8479.7,6757.3,5261.3,1737.2,2829.3,522.7,259.8,480.0,26327.3,8506.2,6773.6,5212.5,1744.6,2821.3,524.6,260.9,480.8,26324.5
Feb-2018,7527.1,6039.6,4561.3,1540.3,2493.1,483.9,222.9,432.6,23300.7,8555.4,6822.7,5220.0,1746.7,2812.5,528.3,262.5,481.9,26429.8,8535.6,6806.9,5219.3,1746.2,2826.2,527.1,263.0,484.1,26408.4
Mar-2018,8436.2,6821.8,5107.1,1762.2,2813.9,535.2,251.4,490.2,26218.0,8545.8,6824.2,5204.2,1746.9,2822.0,526.8,263.3,489.2,26422.3,8564.4,6835.8,5222.6,1746.1,2829.8,530.0,265.3,487.6,26481.5
Apr-2018,8041.3,6517.3,4822.3,1624.3,2655.0,500.6,253.3,469.3,24883.3,8589.5,6871.5,5209.6,1737.5,2846.3,532.8,269.9,491.5,26548.7,8593.9,6864.1,5225.7,1746.5,2830.9,533.3,267.0,490.7,26552.0
May-2018,8438.3,6698.5,5062.0,1722.7,2758.0,522.1,270.4,482.0,25954.1,8635.4,6877.2,5244.1,1754.8,2832.7,540.0,269.5,493.3,26647.1,8621.8,6896.8,5233.5,1748.5,2829.6,536.9,267.6,492.8,26627.6
Jun-2018,8354.4,6704.9,5065.5,1687.2,2737.0,514.1,278.7,485.5,25827.2,8639.7,6946.2,5233.3,1751.9,2839.4,541.7,267.7,497.2,26717.2,8644.6,6935.3,5250.9,1751.7,2826.9,540.3,266.9,494.2,26710.9
Jul-2018,8304.6,6657.5,5273.3,1696.2,2715.8,522.8,289.6,475.8,25935.6,8647.4,6962.3,5292.0,1750.7,2805.3,539.4,264.5,494.5,26756.2,8658.7,6976.8,5277.7,1755.3,2824.6,542.8,265.0,495.5,26796.3
Aug-2018,8474.8,6793.4,5300.0,1719.0,2774.0,525.0,282.8,471.4,26340.6,8709.7,7008.3,5300.5,1760.2,2822.5,545.6,261.8,492.7,26901.3,8663.1,7015.2,5307.4,1758.2,2823.9,544.4,262.4,496.6,26871.3
Sep-2018,8387.7,6757.1,5226.6,1703.0,2732.1,516.1,262.3,478.9,26063.9,8671.1,7058.9,5322.3,1761.9,2821.9,546.8,258.3,496.3,26937.5,8664.7,7045.5,5333.9,1760.6,2826.9,545.2,259.5,498.0,26934.3
Oct-2018,8747.3,7169.5,5470.5,1802.2,2898.2,548.2,264.2,507.6,27407.7,8632.7,7104.8,5389.2,1769.9,2836.4,546.3,258.1,501.9,27039.4,8670.4,7065.8,5355.8,1762.5,2833.9,545.4,257.2,499.6,26990.7
Nov-2018,9245.0,7511.7,5630.1,1861.6,2998.7,571.6,256.8,533.6,28609.2,8651.8,7071.7,5379.7,1758.3,2846.3,543.4,255.4,506.3,27012.7,8685.0,7077.0,5375.0,1764.3,2842.9,545.6,255.7,501.2,27046.6
Dec-2018,11085.5,9118.5,6729.8,2211.4,3612.4,690.0,280.5,633.2,34361.4,8692.8,7067.5,5390.6,1765.0,2853.6,544.3,255.5,500.4,27069.5,8704.1,7082.5,5394.1,1767.6,2850.5,545.6,255.0,502.8,27102.2
Jan-2019,8651.0,6926.8,5358.7,1746.2,2805.1,553.7,225.3,481.3,26748.0,8748.6,7059.9,5383.2,1769.7,2852.3,547.8,251.6,499.2,27112.2,8720.2,7088.3,5415.3,1772.9,2854.9,545.5,255.1,504.2,27156.4
Feb-2019,7717.4,6292.9,4753.2,1570.3,2544.1,497.3,218.2,455.8,24049.2,8769.8,7108.9,5432.6,1780.3,2869.3,544.7,257.2,508.1,27270.9,8726.5,7098.4,5439.2,1779.7,2856.6,545.7,255.9,505.3,27207.3
Mar-2019,8496.4,7035.3,5279.2,1759.9,2795.8,542.6,245.6,505.7,26660.6,8745.0,7142.7,5479.5,1784.5,2853.1,546.9,258.7,507.5,27317.9,8720.0,7115.4,5464.5,1786.2,2858.0,546.1,257.0,506.1,27253.4
Apr-2019,8247.9,6825.2,5191.3,1713.6,2700.6,525.3,244.3,489.0,25937.2,8683.0,7097.4,5510.5,1793.1,2857.4,547.3,257.7,507.0,27253.3,8704.5,7138.9,5488.5,1790.9,2860.9,546.5,258.2,506.9,27295.3
May-2019,8503.7,7014.1,5329.5,1778.2,2792.5,529.1,261.1,500.0,26708.0,8645.2,7181.5,5506.4,1807.0,2857.0,544.8,259.2,509.2,27310.2,8690.2,7163.6,5507.3,1792.3,2867.1,547.4,259.2,507.8,27334.9
Jun-2019,8371.3,6906.9,5298.6,1708.6,2744.0,519.9,267.7,495.0,26311.9,8689.8,7186.9,5516.7,1789.2,2874.6,552.0,260.0,508.8,27378.0,8689.5,7185.5,5521.5,1791.4,2876.8,549.1,260.0,509.0,27382.8
Jul-2019,8349.8,6886.1,5507.2,1725.6,2826.3,534.8,286.2,486.4,26602.4,8697.3,7204.8,5530.2,1778.9,2900.6,550.7,260.8,505.3,27428.6,,,,,,,,,
Aug-2019,8542.8,7046.9,5585.6,1754.6,2857.8,535.3,282.9,499.0,27104.8,8734.1,7233.2,5556.0,1786.1,2896.8,554.3,261.2,515.0,27536.7,,,,,,,,,
Sep-2019,8451.1,6890.5,5423.1,1724.5,2810.0,528.1,262.2,494.2,26583.6,8779.9,7243.3,5550.0,1792.6,2918.0,559.6,260.2,516.7,27620.4,,,,,,,,,
Oct-2019,8930.2,7304.3,5712.7,1831.2,2992.2,575.3,271.5,525.8,28143.2,8778.1,7211.3,5603.3,1786.5,2922.9,571.6,264.1,521.8,27659.5,,,,,,,,,
Nov-2019,9424.2,7716.0,5939.8,1912.6,3104.6,601.6,266.1,557.4,29522.2,8846.9,7278.5,5668.1,1806.8,2932.7,572.4,263.4,522.5,27891.4,,,,,,,,,
Dec-2019,11156.1,9376.9,7043.9,2239.6,3696.8,740.5,285.8,652.5,35192.1,8758.0,7279.2,5644.3,1788.9,2933.8,582.6,260.5,520.4,27767.6,,,,,,,,,
Jan-2020,8630.8,7121.9,5632.4,1765.5,2867.1,585.4,231.8,488.3,27323.3,8710.4,7252.9,5660.7,1789.5,2902.5,578.6,258.1,505.0,27657.7,,,,,,,,,
Feb-2020,7946.2,6696.7,5174.5,1643.7,2712.5,545.0,227.7,482.2,25428.4,8728.6,7287.2,5687.8,1797.1,2939.5,577.6,258.3,515.5,27791.6,,,,,,,,,
Mar-2020,9057.6,7653.1,5943.5,1922.5,3136.9,620.5,270.5,554.6,29159.2,9369.4,7786.5,6200.7,1965.5,3229.0,628.7,287.0,563.9,30030.8,,,,,,,,,
Apr-2020,7349.1,5946.7,4938.4,1605.5,2574.2,495.1,252.1,458.4,23619.5,7714.0,6187.4,5235.9,1681.3,2714.1,518.3,265.6,479.8,24796.5,,,,,,,,,
May-2020,8787.1,7054.6,5881.2,1912.7,3137.5,586.5,289.2,532.2,28181.1,8926.9,7231.6,6073.8,1949.0,3224.8,606.0,286.8,536.3,28835.2,,,,,,,,,
Jun-2020,8968.6,7237.1,5909.0,1885.2,3150.6,594.7,285.4,537.8,28568.4,9284.4,7508.2,6141.0,1967.2,3299.5,626.6,278.2,555.2,29660.3,,,,,,,,,
Jul-2020,9536.2,7130.8,6470.8,1983.2,3370.2,638.9,312.6,565.5,30008.2,9849.1,7428.0,6478.1,2029.1,3444.0,653.9,283.8,587.2,30753.0,,,,,,,,,
Aug-2020,9278.4,6236.5,6298.6,1931.8,3321.1,619.4,310.0,568.5,28564.2,9674.3,6495.9,6355.2,2002.7,3409.4,650.5,290.8,590.2,29469.0,,,,,,,,,
Sep-2020,9336.0,6212.8,6173.4,1890.3,3254.8,608.6,303.4,556.4,28335.7,9642.6,6474.9,6279.8,1947.6,3360.9,642.4,298.7,581.9,29228.9,,,,,,,,,
Oct-2020,9910.5,6925.3,6430.6,2019.5,3489.7,639.6,308.4,594.3,30318.0,9700.2,6796.0,6271.2,1959.5,3380.6,630.5,297.8,582.1,29617.8,,,,,,,,,
Nov-2020,10448.2,8725.1,6731.1,2034.3,3561.1,674.6,304.0,622.0,33100.4,9882.2,8289.9,6486.9,1949.3,3405.4,646.6,304.9,590.6,31555.8,,,,,,,,,
Dec-2020,12160.5,10012.4,8042.5,2469.4,4271.3,800.3,339.0,735.0,38830.4,9516.8,7731.3,6426.2,1957.0,3364.7,628.5,305.7,586.7,30516.7,,,,,,,,,
Jan-2021,9397.7,7636.5,6299.4,1925.7,3380.7,639.2,275.7,574.0,30129.0,9516.3,7793.3,6340.6,1957.1,3434.3,634.9,306.0,587.5,30569.9,,,,,,,,,
Feb-2021,8477.6,6701.3,5594.3,1728.6,2890.0,580.9,255.0,530.1,26757.8,9644.4,7558.4,6380.2,1962.5,3255.3,638.9,300.9,591.9,30332.5,,,,,,,,,
Mar-2021,9470.1,7800.0,6201.9,1940.4,3390.1,648.8,286.8,572.6,30310.7,9663.6,7797.9,6366.3,1946.1,3427.5,645.1,301.9,577.4,30725.9,,,,,,,,,
Apr-2021,9256.2,7539.6,5959.3,1848.9,3186.3,611.2,285.8,559.3,29246.6,9778.5,7905.8,6383.2,1958.4,3400.1,645.8,302.0,586.3,30960.0,,,,,,,,,
May-2021,9611.1,7640.1,6204.8,1906.3,3323.1,627.2,297.4,582.7,30192.8,9821.3,7840.4,6430.6,1957.9,3421.5,649.4,297.6,589.0,31007.7,,,,,,,,,
Jun-2021,9342.8,7257.9,6161.3,1885.7,3271.8,610.0,302.0,575.3,29406.8,9666.2,7556.3,6411.3,1967.9,3428.1,645.1,294.2,594.7,30563.8,,,,,,,,,
Jul-2021,8555.7,7380.2,6383.3,1862.6,3403.2,642.8,330.8,590.8,29149.3,8816.5,7655.1,6367.4,1894.5,3466.9,654.8,299.4,606.8,29761.4,,,,,,,,,
Aug-2021,8215.9,7122.4,6225.1,1952.3,3426.2,623.6,317.5,468.5,28351.3,8526.5,7447.3,6287.6,2020.4,3540.3,653.7,298.6,487.4,29261.9,,,,,,,,,
Sep-2021,8539.9,7022.4,6500.5,1975.3,3491.8,631.5,304.7,410.3,28876.5,8798.0,7319.6,6611.2,2037.0,3595.3,666.1,300.6,428.8,29756.7,,,,,,,,,
Oct-2021,10085.3,7576.3,6760.8,2062.4,3689.3,658.6,311.5,529.9,31674.1,9909.5,7504.8,6632.5,2015.9,3598.2,653.4,301.4,517.0,31132.7,,,,,,,,,
Nov-2021,11046.7,9461.4,6977.0,2169.2,3837.3,702.4,296.5,653.8,35144.3,10428.1,8940.8,6683.3,2059.2,3650.0,668.7,295.8,619.1,33345.0,,,,,,,,,
Dec-2021,12782.9,10706.7,8335.6,2512.2,4524.4,826.9,338.3,745.4,40772.5,9966.5,8247.2,6666.5,1989.7,3548.9,650.5,303.7,594.9,31967.9,,,,,,,,,
Jan-2022,9867.6,8227.2,6619.3,2000.3,3643.3,656.7,274.5,581.7,31870.7,10076.0,8408.0,6694.9,2048.9,3705.6,654.0,306.8,597.7,32492.0,,,,,,,,,
Feb-2022,9201.0,7566.0,5964.7,1860.6,3191.4,601.4,249.8,548.4,29183.3,10464.4,8547.0,6797.6,2112.2,3596.9,661.1,295.0,611.1,33085.4,,,,,,,,,
Mar-2022,10333.2,8496.0,6765.6,2063.8,3583.9,660.2,284.8,605.8,32793.5,10656.0,8594.1,7028.6,2097.2,3665.8,665.9,300.6,617.9,33626.1,,,,,,,,,
Apr-2022,10172.1,8407.6,6769.3,2045.2,3557.8,652.7,289.3,604.3,32498.3,10618.9,8690.1,7138.9,2126.8,3745.7,679.0,302.8,620.9,33923.1,,,,,,,,,
May-2022,10551.2,8561.4,6847.3,2109.3,3617.3,662.4,303.5,606.1,33258.5,10760.4,8791.9,7101.0,2163.0,3749.0,684.9,304.5,617.4,34172.0,,,,,,,,,
Jun-2022,10410.9,8473.5,6872.7,2071.6,3609.6,651.0,316.9,599.2,33005.5,10742.7,8790.2,7153.9,2163.5,3769.6,688.0,310.1,621.2,34239.3,,,,,,,,,
Jul-2022,10533.1,8562.7,7166.2,2137.6,3735.7,669.0,344.5,617.0,33765.9,10886.0,8947.3,7185.6,2189.1,3830.8,685.9,312.2,632.4,34669.3,,,,,,,,,
Aug-2022,10631.5,8570.0,7138.8,2148.5,3739.1,670.0,333.0,618.8,33849.7,11045.1,8960.1,7177.9,2217.6,3823.3,700.8,312.1,644.7,34881.6,,,,,,,,,
Sep-2022,10822.7,8662.7,7181.1,2169.5,3778.5,675.2,321.8,629.2,34240.8,11075.8,8998.5,7254.4,2213.7,3876.4,707.0,315.5,655.2,35096.3,,,,,,,,,
Oct-2022,11180.4,9039.2,7344.2,2247.2,3976.5,699.2,317.4,656.5,35460.5,11059.9,8989.0,7228.8,2213.0,3876.7,695.0,309.7,645.9,35017.9,,,,,,,,,
