,Employed total ;  Persons ;,Employed total ;  Persons ;,Employed total ;  Persons ;,Employed total ;  > Males ;,Employed total ;  > Males ;,Employed total ;  > Males ;,Employed total ;  > Females ;,Employed total ;  > Females ;,Employed total ;  > Females ;,> Employed full-time ;  Persons ;,> Employed full-time ;  Persons ;,> Employed full-time ;  Persons ;,> Employed full-time ;  > Males ;,> Employed full-time ;  > Males ;,> Employed full-time ;  > Males ;,> Employed full-time ;  > Females ;,> Employed full-time ;  > Females ;,> Employed full-time ;  > Females ;,> Employed part-time ;  Persons ;,> Employed part-time ;  > Males ;,> Employed part-time ;  > Females ;,Employment to population ratio ;  Persons ;,Employment to population ratio ;  Persons ;,Employment to population ratio ;  Persons ;,Employment to population ratio ;  > Males ;,Employment to population ratio ;  > Males ;,Employment to population ratio ;  > Males ;,Employment to population ratio ;  > Females ;,Employment to population ratio ;  > Females ;,Employment to population ratio ;  > Females ;,Unemployed total ;  Persons ;,Unemployed total ;  Persons ;,Unemployed total ;  Persons ;,Unemployed total ;  > Males ;,Unemployed total ;  > Males ;,Unemployed total ;  > Males ;,Unemployed total ;  > Females ;,Unemployed total ;  > Females ;,Unemployed total ;  > Females ;,> Unemployed looked for full-time work ;  Persons ;,> Unemployed looked for full-time work ;  > Males ;,> Unemployed looked for full-time work ;  > Females ;,> Unemployed looked for only part-time work ;  Persons ;,> Unemployed looked for only part-time work ;  > Males ;,> Unemployed looked for only part-time work ;  > Females ;,Unemployment rate ;  Persons ;,Unemployment rate ;  Persons ;,Unemployment rate ;  Persons ;,Unemployment rate ;  > Males ;,Unemployment rate ;  > Males ;,Unemployment rate ;  > Males ;,Unemployment rate ;  > Females ;,Unemployment rate ;  > Females ;,Unemployment rate ;  > Females ;,> Unemployment rate looked for full-time work ;  Persons ;,> Unemployment rate looked for full-time work ;  > Males ;,> Unemployment rate looked for full-time work ;  > Females ;,> Unemployment rate looked for only part-time work ;  Persons ;,> Unemployment rate looked for only part-time work ;  > Males ;,> Unemployment rate looked for only part-time work ;  > Females ;,Labour force total ;  Persons ;,Labour force total ;  Persons ;,Labour force total ;  Persons ;,Labour force total ;  > Males ;,Labour force total ;  > Males ;,Labour force total ;  > Males ;,Labour force total ;  > Females ;,Labour force total ;  > Females ;,Labour force total ;  > Females ;,Participation rate ;  Persons ;,Participation rate ;  Persons ;,Participation rate ;  Persons ;,Participation rate ;  > Males ;,Participation rate ;  > Males ;,Participation rate ;  > Males ;,Participation rate ;  > Females ;,Participation rate ;  > Females ;,Participation rate ;  > Females ;,Not in the labour force (NILF) ;  Persons ;,Not in the labour force (NILF) ;  > Males ;,Not in the labour force (NILF) ;  > Females ;,Civilian population aged 15 years and over ;  Persons ;,Civilian population aged 15 years and over ;  > Males ;,Civilian population aged 15 years and over ;  > Females ;
Oct-2000,921.8,919.8,919.3,513.4,511.5,511.1,408.3,408.3,408.3,660.9,660.6,657.4,445.2,443.1,440.2,215.7,217.5,217.3,261.9,70.9,191.0,62.2,62.1,62.0,69.8,69.5,69.4,54.7,54.7,54.7,57.0,57.0,52.8,35.5,35.5,33.9,21.5,21.5,19.0,41.9,28.9,13.1,10.9,5.0,5.9,5.8,5.8,5.4,6.5,6.5,6.2,5.0,5.0,4.4,6.0,6.2,5.7,4.0,6.6,3.0,978.8,976.8,972.2,548.9,547.0,544.9,429.9,429.8,427.3,66.0,65.9,65.6,74.6,74.3,74.0,57.6,57.6,57.3,509.8,191.0,318.8,1482.0,736.0,746.0
Nov-2000,922.7,916.5,916.3,513.1,512.2,510.9,409.6,404.2,405.5,661.0,660.5,659.3,443.9,444.2,443.2,217.1,216.3,216.1,257.1,67.7,189.4,62.2,61.8,61.7,69.6,69.5,69.3,54.8,54.1,54.3,57.9,61.6,57.3,36.3,36.3,34.2,21.6,25.3,23.1,46.0,30.6,15.4,11.3,3.6,7.7,5.9,6.3,5.9,6.6,6.6,6.3,5.0,5.9,5.4,6.5,6.4,6.7,4.2,5.1,3.9,980.6,978.0,973.6,549.4,548.6,545.0,431.2,429.5,428.6,66.1,65.9,65.6,74.5,74.4,74.0,57.7,57.5,57.4,510.5,191.9,318.6,1484.1,737.0,747.2
Dec-2000,923.6,926.6,940.5,513.2,514.6,522.0,410.4,412.1,418.5,660.6,668.6,682.0,442.9,449.2,455.6,217.8,219.5,226.4,258.5,66.4,192.1,62.1,62.3,63.3,69.5,69.7,70.7,54.8,55.1,55.9,59.3,58.8,56.3,37.3,37.2,35.6,22.1,21.6,20.7,45.0,30.6,14.4,11.3,5.0,6.3,6.0,6.0,5.6,6.8,6.7,6.4,5.1,5.0,4.7,6.2,6.3,6.0,4.2,7.0,3.2,982.9,985.4,996.8,550.4,551.8,557.6,432.5,433.7,439.2,66.1,66.3,67.1,74.6,74.8,75.6,57.8,57.9,58.7,489.6,180.4,309.2,1486.3,738.0,748.4
Jan-2001,924.1,929.0,918.0,513.3,518.0,514.7,410.8,411.0,403.3,659.5,657.8,660.1,442.0,442.3,443.7,217.5,215.5,216.4,257.9,71.0,186.9,62.0,62.4,61.6,69.4,70.1,69.6,54.8,54.8,53.8,61.3,57.7,64.3,38.2,35.5,39.9,23.1,22.2,24.4,51.5,35.3,16.2,12.8,4.6,8.2,6.2,5.8,6.5,6.9,6.4,7.2,5.3,5.1,5.7,7.2,7.4,7.0,4.7,6.1,4.2,985.4,986.7,982.3,551.6,553.5,554.6,433.9,433.2,427.7,66.2,66.3,66.0,74.6,74.9,75.0,57.9,57.8,57.0,506.9,184.8,322.1,1489.1,739.3,749.8
Feb-2001,924.0,924.5,926.0,513.4,514.6,517.3,410.6,409.9,408.7,657.6,666.5,670.3,441.3,447.6,451.0,216.3,218.9,219.3,255.7,66.4,189.4,61.9,62.0,62.1,69.3,69.5,69.8,54.7,54.6,54.4,63.8,64.7,73.4,39.3,40.6,44.7,24.6,24.0,28.6,56.8,39.5,17.3,16.6,5.3,11.3,6.5,6.5,7.3,7.1,7.3,8.0,5.6,5.5,6.5,7.8,8.0,7.3,6.1,7.4,5.6,987.8,989.2,999.4,552.7,555.3,562.1,435.1,433.9,437.3,66.2,66.3,67.0,74.6,75.0,75.9,57.9,57.7,58.2,492.6,178.6,314.0,1492.0,740.7,751.3
Mar-2001,923.6,921.2,920.5,513.5,511.6,510.8,410.1,409.6,409.7,655.2,659.4,653.3,440.8,437.2,435.6,214.4,222.2,217.7,267.2,75.1,192.1,61.8,61.6,61.6,69.2,68.9,68.8,54.5,54.4,54.4,66.5,69.7,73.6,40.2,43.1,44.1,26.3,26.6,29.5,54.7,36.8,17.9,18.9,7.4,11.5,6.7,7.0,7.4,7.3,7.8,8.0,6.0,6.1,6.7,7.7,7.8,7.6,6.6,8.9,5.7,990.1,990.9,994.1,553.7,554.7,554.9,436.4,436.2,439.2,66.3,66.3,66.5,74.7,74.8,74.8,58.0,57.9,58.3,500.7,187.1,313.6,1494.8,742.0,752.8
Apr-2001,923.2,926.7,929.6,513.7,514.8,517.7,409.6,411.9,411.9,653.4,652.5,652.7,440.8,441.0,442.9,212.6,211.5,209.8,276.9,74.9,202.1,61.7,61.9,62.1,69.2,69.3,69.7,54.3,54.7,54.7,70.5,69.2,70.0,41.8,40.5,39.9,28.7,28.6,30.1,50.4,33.2,17.2,19.6,6.7,13.0,7.1,6.9,7.0,7.5,7.3,7.1,6.5,6.5,6.8,7.2,7.0,7.6,6.6,8.2,6.0,993.7,995.9,999.6,555.5,555.4,557.6,438.2,440.5,442.0,66.4,66.6,66.8,74.8,74.8,75.1,58.2,58.4,58.6,496.8,185.2,311.7,1496.4,742.7,753.7
May-2001,923.3,921.0,919.6,514.1,512.7,511.6,409.2,408.2,408.0,652.5,649.1,648.5,441.3,439.1,439.6,211.2,210.0,208.9,271.2,72.1,199.1,61.6,61.5,61.4,69.1,69.0,68.8,54.2,54.1,54.1,72.2,71.1,70.5,42.3,39.6,37.8,29.8,31.5,32.8,52.0,32.0,19.9,18.5,5.7,12.8,7.2,7.2,7.1,7.6,7.2,6.9,6.8,7.2,7.4,7.4,6.8,8.7,6.4,7.4,6.0,995.5,992.0,990.1,556.5,552.3,549.4,439.0,439.7,440.8,66.4,66.2,66.1,74.8,74.3,73.9,58.2,58.3,58.4,507.9,194.1,313.8,1498.1,743.5,754.6
Jun-2001,924.2,920.5,920.0,515.0,514.1,513.9,409.3,406.4,406.0,652.6,647.1,643.8,442.3,442.0,440.8,210.3,205.1,202.9,276.2,73.1,203.1,61.6,61.4,61.3,69.2,69.1,69.1,54.2,53.8,53.7,73.0,84.6,80.3,42.6,47.8,45.9,30.4,36.8,34.5,59.7,38.8,20.9,20.6,7.1,13.6,7.3,8.4,8.0,7.6,8.5,8.2,6.9,8.3,7.8,8.5,8.1,9.3,6.9,8.8,6.3,997.2,1005.2,1000.3,557.6,561.9,559.8,439.6,443.2,440.5,66.5,67.0,66.7,74.9,75.5,75.2,58.2,58.7,58.3,499.4,184.4,315.0,1499.7,744.2,755.5
Jul-2001,925.9,928.2,928.3,516.2,518.3,519.4,409.7,410.0,408.9,653.4,655.1,655.7,443.6,445.7,445.8,209.9,209.5,210.0,272.5,73.7,198.9,61.6,61.8,61.8,69.3,69.5,69.7,54.2,54.2,54.0,72.8,73.1,67.9,42.6,43.7,41.0,30.3,29.4,26.9,53.6,35.7,17.9,14.3,5.3,9.0,7.3,7.3,6.8,7.6,7.8,7.3,6.9,6.7,6.2,7.6,7.4,7.9,5.0,6.7,4.3,998.8,1001.4,996.2,558.8,562.0,560.5,440.0,439.4,435.7,66.5,66.7,66.3,75.0,75.4,75.2,58.2,58.1,57.6,505.6,184.8,320.8,1501.8,745.3,756.5
Aug-2001,927.8,930.2,925.8,517.6,518.0,514.4,410.2,412.1,411.4,654.4,659.2,653.0,444.9,446.1,440.8,209.5,213.1,212.2,272.7,73.6,199.2,61.7,61.9,61.6,69.4,69.4,68.9,54.2,54.4,54.3,71.9,67.1,65.1,42.3,42.2,41.8,29.6,25.0,23.3,50.5,36.7,13.9,14.6,5.2,9.4,7.2,6.7,6.6,7.6,7.5,7.5,6.7,5.7,5.4,7.2,7.7,6.1,5.1,6.6,4.5,999.8,997.3,990.9,559.9,560.2,556.2,439.8,437.1,434.7,66.5,66.3,65.9,75.0,75.1,74.5,58.1,57.7,57.4,513.0,190.2,322.8,1503.9,746.4,757.5
Sep-2001,929.6,927.6,929.2,519.2,517.1,515.8,410.5,410.5,413.5,655.1,651.6,656.9,446.1,442.1,443.6,209.0,209.6,213.4,272.3,72.2,200.1,61.7,61.6,61.7,69.5,69.2,69.0,54.1,54.1,54.5,70.6,70.6,72.1,41.8,41.9,43.6,28.8,28.6,28.5,53.8,37.2,16.7,18.3,6.5,11.8,7.1,7.1,7.2,7.4,7.5,7.8,6.6,6.5,6.4,7.6,7.7,7.2,6.3,8.2,5.6,1000.2,998.1,1001.3,560.9,559.0,559.4,439.3,439.1,441.9,66.4,66.3,66.5,75.1,74.8,74.8,57.9,57.9,58.3,504.6,188.1,316.6,1505.9,747.5,758.5
Oct-2001,931.2,931.0,930.3,520.6,520.1,519.3,410.6,410.8,411.0,655.2,653.1,649.4,447.3,445.4,442.1,207.9,207.7,207.4,280.9,77.3,203.6,61.8,61.7,61.7,69.5,69.5,69.4,54.1,54.1,54.1,69.0,69.5,64.8,41.0,41.4,39.7,28.0,28.1,25.2,46.7,31.7,15.0,18.1,8.0,10.2,6.9,7.0,6.5,7.3,7.4,7.1,6.4,6.4,5.8,6.7,6.7,6.7,6.1,9.4,4.8,1000.1,1000.5,995.1,561.5,561.6,559.0,438.6,438.9,436.1,66.3,66.3,66.0,75.0,75.0,74.7,57.8,57.8,57.4,512.9,189.6,323.3,1508.0,748.6,759.4
Nov-2001,932.5,937.3,934.6,521.8,525.0,522.6,410.7,412.3,412.0,654.9,658.0,657.5,448.2,451.0,450.7,206.7,207.0,206.8,277.1,71.9,205.1,61.8,62.1,61.9,69.6,70.0,69.7,54.0,54.2,54.2,67.3,66.8,61.5,40.1,39.2,36.4,27.2,27.6,25.1,47.2,30.5,16.6,14.4,5.9,8.5,6.7,6.7,6.2,7.1,6.9,6.5,6.2,6.3,5.7,6.7,6.3,7.4,4.9,7.6,4.0,999.8,1004.1,996.1,561.8,564.2,559.0,438.0,439.9,437.1,66.2,66.5,66.0,74.9,75.3,74.6,57.6,57.9,57.5,513.9,190.7,323.3,1510.0,749.7,760.3
Dec-2001,933.7,932.5,946.6,522.7,524.0,531.9,411.0,408.5,414.7,654.5,653.3,666.7,448.9,448.5,455.3,205.7,204.9,211.4,279.9,76.6,203.3,61.7,61.7,62.6,69.6,69.8,70.8,54.0,53.7,54.5,65.9,64.3,61.6,39.4,39.2,37.4,26.4,25.1,24.3,47.4,30.8,16.7,14.2,6.6,7.6,6.6,6.5,6.1,7.0,7.0,6.6,6.0,5.8,5.5,6.6,6.3,7.3,4.8,7.9,3.6,999.5,996.8,1008.2,562.2,563.2,569.3,437.4,433.6,439.0,66.1,65.9,66.7,74.9,75.0,75.8,57.4,57.0,57.7,503.8,181.6,322.3,1512.1,750.8,761.3
Jan-2002,934.8,928.9,920.9,523.5,522.1,521.4,411.4,406.9,399.5,654.8,654.5,661.6,449.5,450.8,454.9,205.3,203.7,206.7,259.4,66.6,192.8,61.7,61.3,60.8,69.6,69.4,69.3,54.0,53.4,52.4,64.9,71.0,80.0,39.3,39.4,45.1,25.6,31.6,34.9,60.7,36.8,23.9,19.3,8.3,11.0,6.5,7.1,8.0,7.0,7.0,8.0,5.9,7.2,8.0,8.4,7.5,10.4,6.9,11.0,5.4,999.7,1000.0,1000.9,562.8,561.5,566.5,437.0,438.5,434.4,66.0,66.0,66.1,74.8,74.7,75.3,57.3,57.5,57.0,513.6,185.6,328.0,1514.5,752.1,762.4
Feb-2002,936.1,938.6,940.7,524.1,524.0,527.3,412.0,414.6,413.5,655.5,656.0,660.4,450.0,450.1,453.8,205.5,206.0,206.5,280.4,73.4,207.0,61.7,61.9,62.0,69.6,69.5,70.0,54.0,54.3,54.2,64.2,65.4,74.0,39.5,38.9,42.9,24.7,26.5,31.1,55.6,36.0,19.6,18.4,6.9,11.5,6.4,6.5,7.3,7.0,6.9,7.5,5.7,6.0,7.0,7.8,7.3,8.7,6.1,8.6,5.2,1000.3,1004.0,1014.7,563.5,562.9,570.2,436.8,441.1,444.6,66.0,66.2,66.9,74.8,74.7,75.7,57.2,57.8,58.2,502.2,183.3,318.9,1517.0,753.4,763.5
Mar-2002,937.4,939.6,939.0,524.6,524.7,524.0,412.8,414.9,415.0,656.1,653.1,647.0,450.1,447.7,446.0,206.0,205.4,201.0,292.0,78.0,213.9,61.7,61.8,61.8,69.5,69.5,69.4,54.0,54.3,54.3,63.7,56.6,59.7,39.7,33.8,34.6,23.9,22.8,25.1,44.6,27.8,16.8,15.0,6.8,8.2,6.4,5.7,6.0,7.0,6.1,6.2,5.5,5.2,5.7,6.5,5.9,7.7,4.9,8.0,3.7,1001.0,996.2,998.6,564.3,558.5,558.6,436.7,437.7,440.0,65.9,65.6,65.7,74.8,74.0,74.0,57.1,57.2,57.5,520.7,196.1,324.6,1519.4,754.7,764.7
Apr-2002,938.8,938.3,941.8,525.3,525.0,528.1,413.5,413.3,413.7,656.4,658.4,658.9,449.9,450.0,452.0,206.5,208.3,206.9,282.9,76.1,206.8,61.7,61.7,61.9,69.5,69.5,69.9,54.0,54.0,54.1,63.2,64.0,64.6,39.9,41.0,40.4,23.3,23.1,24.1,49.5,33.6,15.9,15.0,6.8,8.2,6.3,6.4,6.4,7.1,7.2,7.1,5.3,5.3,5.5,7.0,6.9,7.2,5.0,8.2,3.8,1002.0,1002.4,1006.3,565.2,566.0,568.5,436.8,436.4,437.8,65.9,65.9,66.2,74.8,74.9,75.3,57.1,57.0,57.2,514.4,186.9,327.4,1520.7,755.5,765.2
May-2002,940.5,936.7,935.6,526.3,526.4,525.4,414.1,410.2,410.2,656.4,660.7,660.6,449.4,452.8,453.6,207.1,207.8,207.0,275.0,71.8,203.2,61.8,61.5,61.5,69.6,69.6,69.5,54.1,53.6,53.6,62.8,64.8,63.6,39.8,42.0,39.9,23.0,22.9,23.7,48.0,32.7,15.3,15.5,7.2,8.4,6.3,6.5,6.4,7.0,7.4,7.1,5.3,5.3,5.5,6.8,6.7,6.9,5.4,9.1,4.0,1003.3,1001.5,999.2,566.2,568.4,565.3,437.1,433.1,433.9,65.9,65.8,65.6,74.9,75.2,74.7,57.1,56.6,56.7,522.9,191.0,331.9,1522.0,756.3,765.8
Jun-2002,942.3,949.0,949.0,527.6,533.7,533.8,414.7,415.3,415.1,656.1,656.3,653.3,448.8,450.0,449.1,207.3,206.3,204.2,295.6,84.7,210.9,61.8,62.3,62.3,69.7,70.5,70.5,54.1,54.2,54.2,62.5,57.8,55.2,39.5,35.0,33.7,23.0,22.8,21.5,41.2,28.0,13.1,14.1,5.7,8.4,6.2,5.7,5.5,7.0,6.2,5.9,5.3,5.2,4.9,5.9,5.9,6.0,4.5,6.3,3.8,1004.9,1006.8,1004.2,567.2,568.7,567.6,437.7,438.2,436.6,66.0,66.1,65.9,74.9,75.1,75.0,57.1,57.2,57.0,519.2,189.4,329.7,1523.4,757.0,766.3
Jul-2002,944.3,944.7,945.0,529.0,527.3,528.1,415.3,417.4,416.8,655.7,650.6,650.3,448.4,445.6,444.9,207.3,204.9,205.4,294.7,83.2,211.5,61.9,61.9,62.0,69.8,69.6,69.7,54.1,54.4,54.3,62.4,57.5,53.8,39.1,37.9,35.7,23.3,19.6,18.1,42.2,30.7,11.5,11.6,5.0,6.6,6.2,5.7,5.4,6.9,6.7,6.3,5.3,4.5,4.2,6.1,6.5,5.3,3.8,5.6,3.0,1006.7,1002.2,998.7,568.0,565.2,563.8,438.6,437.0,435.0,66.0,65.7,65.5,74.9,74.6,74.4,57.2,57.0,56.7,526.3,194.1,332.2,1525.0,757.9,767.1
Aug-2002,946.6,945.7,940.1,530.3,531.5,527.0,416.3,414.2,413.1,655.7,657.8,651.0,448.3,447.2,441.3,207.3,210.6,209.7,289.1,85.7,203.4,62.0,61.9,61.6,69.9,70.0,69.5,54.2,53.9,53.8,62.4,62.6,60.9,38.5,38.2,38.0,23.8,24.4,23.0,42.2,29.9,12.3,18.7,8.0,10.7,6.2,6.2,6.1,6.8,6.7,6.7,5.4,5.6,5.3,6.1,6.3,5.5,6.1,8.6,5.0,1009.0,1008.3,1001.1,568.8,569.7,565.0,440.1,438.6,436.1,66.1,66.0,65.6,75.0,75.1,74.5,57.3,57.1,56.8,525.6,193.8,331.8,1526.6,758.8,767.9
Sep-2002,949.3,953.6,954.4,531.6,531.7,529.6,417.7,421.9,424.8,656.5,656.4,661.1,448.9,448.5,449.5,207.6,207.9,211.6,293.4,80.1,213.2,62.1,62.4,62.5,70.0,70.0,69.7,54.3,54.9,55.3,62.5,64.9,66.3,38.1,40.6,42.2,24.4,24.3,24.1,48.2,34.6,13.6,18.1,7.6,10.5,6.2,6.4,6.5,6.7,7.1,7.4,5.5,5.4,5.4,6.8,7.1,6.0,5.8,8.6,4.7,1011.8,1018.5,1020.7,569.7,572.3,571.8,442.1,446.2,448.9,66.2,66.6,66.8,75.0,75.3,75.3,57.5,58.0,58.4,507.6,187.9,319.7,1528.3,759.7,768.6
Oct-2002,952.2,949.6,948.6,532.9,533.9,532.6,419.3,415.8,416.0,658.6,658.2,654.3,450.4,451.6,448.2,208.3,206.6,206.1,294.3,84.5,209.8,62.2,62.1,62.0,70.1,70.2,70.0,54.5,54.0,54.1,62.4,60.7,56.8,37.8,35.2,33.9,24.7,25.5,22.9,41.0,27.6,13.4,15.8,6.3,9.4,6.2,6.0,5.6,6.6,6.2,6.0,5.6,5.8,5.2,5.9,5.8,6.1,5.1,7.0,4.3,1014.6,1010.3,1005.4,570.6,569.1,566.6,444.0,441.2,438.8,66.3,66.0,65.7,75.0,74.8,74.5,57.7,57.3,57.0,524.8,194.1,330.7,1530.2,760.7,769.5
Nov-2002,955.1,947.7,948.3,534.2,532.8,531.7,420.9,414.9,416.5,661.8,651.4,651.4,452.7,444.8,444.9,209.1,206.6,206.5,296.9,86.8,210.0,62.3,61.9,61.9,70.1,69.9,69.8,54.6,53.9,54.1,62.1,61.1,55.9,37.3,39.0,35.8,24.8,22.1,20.1,42.1,30.6,11.5,13.8,5.3,8.5,6.1,6.1,5.6,6.5,6.8,6.3,5.6,5.1,4.6,6.1,6.4,5.3,4.4,5.7,3.9,1017.2,1008.8,1004.2,571.5,571.8,567.6,445.7,437.1,436.6,66.4,65.8,65.5,75.0,75.1,74.5,57.8,56.7,56.7,527.9,194.1,333.8,1532.1,761.7,770.4
Dec-2002,957.7,959.7,974.3,535.5,534.9,543.2,422.2,424.7,431.1,665.2,666.4,680.3,455.2,454.4,461.6,210.0,212.0,218.7,294.0,81.5,212.4,62.4,62.6,63.5,70.2,70.1,71.2,54.7,55.1,55.9,61.5,63.9,61.6,36.8,36.1,34.4,24.7,27.9,27.3,43.7,28.7,15.0,17.9,5.6,12.3,6.0,6.2,6.0,6.4,6.3,6.0,5.5,6.2,5.9,6.0,5.9,6.4,5.7,6.5,5.5,1019.2,1023.6,1035.9,572.3,571.0,577.6,446.8,452.6,458.4,66.4,66.7,67.5,75.0,74.9,75.7,57.9,58.7,59.4,498.1,185.1,313.0,1534.0,762.7,771.4
Jan-2003,959.8,967.6,959.0,536.9,537.5,537.0,422.9,430.0,422.1,668.6,670.2,677.0,457.7,457.6,461.6,210.9,212.7,215.4,282.1,75.4,206.7,62.5,63.0,62.4,70.2,70.3,70.3,54.7,55.7,54.6,60.6,62.8,70.9,36.2,37.0,42.5,24.4,25.8,28.4,53.7,34.8,18.9,17.2,7.7,9.5,5.9,6.1,6.9,6.3,6.4,7.3,5.4,5.6,6.3,7.4,7.0,8.1,5.8,9.2,4.4,1020.4,1030.3,1029.9,573.1,574.5,579.4,447.3,455.8,450.5,66.4,67.0,67.0,75.0,75.2,75.8,57.9,59.0,58.3,506.8,184.7,322.1,1536.8,764.2,772.6
Feb-2003,961.2,962.9,965.2,538.4,539.2,542.6,422.8,423.7,422.6,671.5,672.0,676.7,459.8,461.2,465.0,211.7,210.8,211.7,288.5,77.5,210.9,62.4,62.5,62.7,70.3,70.4,70.9,54.6,54.8,54.6,59.6,58.2,65.6,35.6,35.7,39.3,24.0,22.5,26.2,49.1,32.3,16.8,16.5,7.0,9.5,5.8,5.7,6.4,6.2,6.2,6.8,5.4,5.0,5.8,6.8,6.5,7.3,5.4,8.3,4.3,1020.9,1021.1,1030.7,574.0,574.9,581.9,446.9,446.3,448.8,66.3,66.3,67.0,75.0,75.1,76.0,57.8,57.7,58.0,508.8,183.8,325.0,1539.5,765.7,773.8
Mar-2003,962.0,956.1,956.0,540.0,540.0,539.9,422.0,416.2,416.1,673.4,669.0,662.9,461.3,463.4,461.7,212.1,205.6,201.2,293.1,78.2,215.0,62.4,62.0,62.0,70.4,70.4,70.4,54.5,53.7,53.7,58.8,56.6,59.4,35.0,32.8,33.5,23.9,23.7,26.0,40.1,25.4,14.7,19.4,8.1,11.3,5.8,5.6,5.9,6.1,5.7,5.8,5.4,5.4,5.9,5.7,5.2,6.8,6.2,9.4,5.0,1020.9,1012.7,1015.4,575.0,572.8,573.3,445.9,439.9,442.1,66.2,65.7,65.8,75.0,74.7,74.7,57.5,56.8,57.0,526.9,193.9,333.0,1542.3,767.2,775.1
Apr-2003,962.2,959.0,963.0,541.5,539.6,542.9,420.6,419.4,420.2,674.1,671.4,671.8,462.2,459.8,461.7,211.9,211.6,210.1,291.2,81.1,210.1,62.3,62.1,62.4,70.5,70.2,70.7,54.2,54.1,54.2,58.4,61.1,61.7,34.4,36.6,36.3,24.0,24.5,25.4,44.9,28.9,16.0,16.8,7.4,9.4,5.7,6.0,6.0,6.0,6.4,6.3,5.4,5.5,5.7,6.3,5.9,7.1,5.5,8.4,4.3,1020.6,1020.2,1024.7,576.0,576.3,579.2,444.6,443.9,445.6,66.1,66.1,66.4,75.0,75.0,75.4,57.3,57.2,57.4,519.5,189.1,330.4,1544.2,768.3,775.9
May-2003,961.7,961.6,960.9,542.7,543.0,542.1,419.1,418.6,418.8,674.1,677.2,677.8,462.8,463.9,465.2,211.4,213.3,212.7,283.1,77.0,206.1,62.2,62.2,62.2,70.5,70.6,70.5,53.9,53.9,53.9,58.3,57.9,56.8,34.0,33.9,32.2,24.3,24.0,24.6,39.9,25.6,14.3,16.8,6.6,10.3,5.7,5.7,5.6,5.9,5.9,5.6,5.5,5.4,5.5,5.6,5.2,6.3,5.6,7.9,4.8,1020.0,1019.5,1017.7,576.7,576.9,574.3,443.3,442.6,443.4,66.0,65.9,65.8,75.0,75.0,74.7,57.1,57.0,57.1,528.4,195.0,333.4,1546.1,769.3,776.8
Jun-2003,960.9,968.6,968.3,543.3,545.7,545.8,417.6,422.8,422.5,674.4,675.9,672.9,463.3,464.2,463.4,211.1,211.7,209.6,295.4,82.5,212.9,62.1,62.6,62.6,70.5,70.8,70.9,53.7,54.4,54.3,58.8,56.6,54.4,34.1,33.3,32.2,24.7,23.4,22.3,41.7,27.4,14.3,12.7,4.8,7.9,5.8,5.5,5.3,5.9,5.7,5.6,5.6,5.2,5.0,5.8,5.6,6.4,4.1,5.5,3.6,1019.7,1025.2,1022.7,577.4,579.0,578.0,442.4,446.2,444.8,65.9,66.2,66.1,74.9,75.2,75.0,56.9,57.4,57.2,525.3,192.4,332.9,1548.0,770.4,777.7
Jul-2003,960.1,960.1,959.8,543.6,544.4,544.7,416.5,415.7,415.0,675.8,671.6,670.5,464.4,462.1,460.7,211.4,209.5,209.8,289.3,84.0,205.3,61.9,61.9,61.9,70.4,70.5,70.6,53.5,53.4,53.3,59.7,60.5,56.6,34.3,33.4,31.5,25.4,27.1,25.1,43.3,27.6,15.7,13.3,3.9,9.5,5.9,5.9,5.6,5.9,5.8,5.5,5.7,6.1,5.7,6.1,5.7,6.9,4.4,4.4,4.4,1019.8,1020.6,1016.4,577.9,577.8,576.2,441.9,442.7,440.2,65.8,65.8,65.6,74.9,74.9,74.7,56.8,56.9,56.5,533.9,195.4,338.5,1550.3,771.7,778.6
Aug-2003,959.4,959.1,952.8,543.7,542.3,537.1,415.7,416.8,415.6,678.4,675.0,667.6,466.1,465.2,458.8,212.2,209.8,208.8,285.2,78.3,206.9,61.8,61.8,61.4,70.3,70.2,69.5,53.3,53.5,53.3,60.8,60.8,59.3,34.6,33.6,33.5,26.2,27.2,25.8,43.3,27.8,15.5,15.9,5.7,10.3,6.0,6.0,5.9,6.0,5.8,5.9,5.9,6.1,5.8,6.1,5.7,6.9,5.3,6.7,4.7,1020.1,1019.9,1012.1,578.3,575.9,570.6,441.9,444.0,441.4,65.7,65.7,65.2,74.8,74.5,73.8,56.7,56.9,56.6,540.5,202.3,338.2,1552.5,772.9,779.6
Sep-2003,959.3,956.6,957.3,544.1,544.0,541.9,415.2,412.6,415.5,681.6,681.6,686.5,468.3,468.3,469.3,213.4,213.3,217.2,270.9,72.6,198.3,61.7,61.5,61.6,70.3,70.3,70.0,53.2,52.9,53.2,61.6,62.2,63.3,34.6,37.3,38.6,27.0,24.8,24.7,46.0,30.8,15.2,17.3,7.8,9.5,6.0,6.1,6.2,6.0,6.4,6.7,6.1,5.7,5.6,6.3,6.2,6.5,6.0,9.7,4.6,1020.9,1018.7,1020.6,578.7,581.3,580.5,442.1,437.4,440.1,65.7,65.5,65.6,74.8,75.1,75.0,56.6,56.0,56.4,534.2,193.7,340.5,1554.8,774.2,780.6
